Names,AbsoluteError_1item_4secs,AbsoluteError_3items_4secs,Misbinding_Simple_1item_4secs,Misbinding_Simple_3items_4secs,Guessing_Simple_1item_4secs,Guessing_Simple_3items_4secs,Target_Simple_1item_4secs,Target_Simple_3items_4secs,IdentificationTime_1item_4secs,IdentificationTime_3items_4secs,LocalisationTime_1item_4secs,LocalisationTime_3items_4secs,ProportionCorrect_1item_4secs,ProportionCorrect_3items_4secs,Imprecision_Simple_1item_4secs,Imprecision_Simple_3items_4secs,
Short_Fractals1&3_Harmer_Murphy_110_2018-08-31T15-47-55-122Z.mat,26.26369305,182.0536704,0,0.25842,0.04703,0.09204,0.95297,0.64954,1.20185,2.1691,2.75025,3.5962,1,1,26.26369305,45.90189492,31/08/2018
Short_Fractals1&3_Harmer_Murphy_111_2018-08-31T08-29-10-475Z.mat,30.87576159,59.88951973,0,0.093326316,0.0268,0.041452632,0.9732,0.865221053,1.08275,3.000947368,2.71435,4.857210526,1,0.95,30.87576159,37.42519889,31/08/2018
Short_Fractals1&3_Harmer_Murphy_207_2018-08-31T09-16-01-241Z.mat,32.90513232,82.08191608,0,0.08871,0.07004,0.14864,0.92996,0.76265,0.95145,1.8833,2.62025,4.52015,1,1,32.90513232,64.0961183,31/08/2018
Short_Fractals1&3_Harmer_Murphy_112_2018-09-14T08-32-50-062Z.mat,23.47557583,74.54820151,0,0.095410526,0.00919,0.041389474,0.99081,0.8632,0.97915,2.164526316,2.2872,3.669736842,1,0.95,23.47557583,45.19880099,14/09/2018
Short_Fractals1&3_Harmer_Murphy_216b_2018-09-14T12-45-27-861Z.mat,29.15173159,70.64375065,0,0.09764,0.04578,0.06721,0.95422,0.83515,0.90085,1.5679,2.2903,2.9977,1,1,29.15173159,48.17114497,14/09/2018
Short_Fractals1&3_Harmer_Murphy_217_2018-09-21T11-23-51-004Z.mat,27.12575932,158.0530403,0,0.238322222,0.04023,0.103222222,0.95977,0.658455556,1.13225,2.442166667,3.77345,5.244944444,1,0.9,27.12575932,47.16860866,21/09/2018
Short_Fractals1&3_Harmer_Murphy_218_2018-09-25T13-58-36-267Z.mat,49.91711858,72.60989845,0,0.1167875,0.13534,0.1622625,0.86466,0.72095,1.0229,2.870375,2.34845,4.2155625,1,0.8,49.91711858,59.79494459,25/09/2018
Short_Fractals1&3_Harmer_Murphy_219_2018-09-25T10-37-39-585Z.mat,34.93208477,162.6959302,0,0.189347368,0.03131,0.099863158,0.96869,0.710789474,1.1636,2.290157895,3.7609,6.040526316,1,0.95,34.93208477,59.25392559,25/09/2018
Short_Fractals1&3_Harmer_umd008_2018-09-26T21-45-07-991Z.mat,25.32872141,112.3774823,0,0.18632,0.02026,0.06211,0.97974,0.75157,0.98805,3.44745,2.958,5.86975,1,1,25.32872141,47.85900638,26/09/2018
Short_Fractals1&3_Harmer_Murphy_115_2018-10-02T12-32-26-937Z.mat,27.65516669,119.4185996,0,0.113275,0.095764706,0.133825,0.904235294,0.7529,0.818823529,1.0185625,2.040470588,2.4160625,0.85,0.8,27.65516669,42.92835158,02/10/2018
